desertionNo,happenDt,happenPlace,upKindNm,kindNm,colorCd,age,weight,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,rfidCd,noticeSdt,noticeEdt,popfile1,popfile2
447508202601203,20260828,선산대로31,개,믹스견,황갈색,2025(년생),6.58(Kg),보호중,M,N,온순,구미시 동물보호센터,054-481-5809,경상북도 구미시 옥성면 선상동로 1358  애니멀 케어 센터,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308297.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308342.jpg
445479202600964,20260828, 동진면 당하길 53-5,개,믹스견,황갈색,2023(년생),8(Kg),보호중,M,N," 목줄착용,쫑긋선귀가 매력",부안군 동물보호센터,063-580-4445,전북특별자치도 부안군 주산면 주산로 369  부안군 동물보호센터,,20260828,20260914,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908175.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908220.jpg
445470202600917,20260828,운봉읍 신기마을,개,믹스견,기타(믹스),2026(60일미만)(년생),1.5(Kg),보호중,F,N,해당없음,인월동물병원,063-636-2873,전북특별자치도 남원시 인월면 인월로 64  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908953.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828090809[1].jpg
445470202600916,20260828,운봉읍 신기마을,개,믹스견,기타(믹스),2026(60일미만)(년생),1.5(Kg),보호중,F,N,해당없음,인월동물병원,063-636-2873,전북특별자치도 남원시 인월면 인월로 64  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908410.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908483[1].jpg
445470202600915,20260828,운봉읍 신기마을,개,믹스견,기타(믹스),2026(60일미만)(년생),1.5(Kg),보호중,M,N,해당없음,인월동물병원,063-636-2873,전북특별자치도 남원시 인월면 인월로 64  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908281.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908329.jpg
445470202600914,20260828,운봉읍 신기마을,개,믹스견,기타(믹스),2026(60일미만)(년생),1.5(Kg),보호중,M,N,해당없음,인월동물병원,063-636-2873,전북특별자치도 남원시 인월면 인월로 64  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908907.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908955.jpg
445470202600913,20260828,운봉읍 신기마을,개,믹스견,기타(믹스),2026(60일미만)(년생),1.5(Kg),보호중,M,N,해당없음,인월동물병원,063-636-2873,전북특별자치도 남원시 인월면 인월로 64  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908381.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908419.jpg
445470202600912,20260828,금지면,개,믹스견,기타(믹스),2026(60일미만)(년생),1.4(Kg),보호중,M,N,해당없음,하나동물병원,063-634-7582,전북특별자치도 남원시 왕정동 67 ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908400.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908991.jpg
445470202600911,20260828,금지면,개,믹스견,기타(믹스),2026(60일미만)(년생),1.4(Kg),보호중,M,N,해당없음,하나동물병원,063-634-7582,전북특별자치도 남원시 왕정동 67 ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908685.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908198.jpg
445469202600960,20260828,천곡사지로 63,개,믹스견,흰색,2023(년생),15(Kg),보호중,F,N,온순함. 새끼 4마리 함께입소,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208354.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208867.jpg
445469202600959,20260828,구룡동 154-4,개,믹스견,갈색&흰색,2024(년생),7(Kg),보호중,F,N,온순함. 새끼1마리 함께입소,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828120878.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208543.jpg
445469202600958,20260828,구룡동 154-4,개,믹스견,흰색,2021(년생),16(Kg),보호중,F,N,온순하고 사람을 좋아함,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208198.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208612.jpg
445469202600957,20260828,관통로 61-8,개,믹스견,검정색,2022(년생),13(Kg),보호중,M,N,경계심과 공격성이 매우 강함.,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208480.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208516.jpg
445469202600956,20260828,구룡동 154-4,개,믹스견,흑갈색,2021(년생),12(Kg),보호중,F,N,온순하고 사람을 좋아함,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208168.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828120826.jpg
445469202600955,20260828,구룡동 154-4,개,믹스견,흰색,2019(년생),24(Kg),보호중,F,N,온순함,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208919.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208424.jpg
445469202600954,20260828,고부농단길 12-19,개,도베르만,검정&황갈색,2019(년생),28(Kg),보호중,F,N,온순하고 사람을 좋아함.,정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208426.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208472.jpg
445469202600953,20260828,옹동면 작소1길,개,믹스견,크림색,2026(60일미만)(년생),3(Kg),보호중,M,N,"약 2개월추정, 온순하고 사람을 좋아함",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208705.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208760.jpg
445469202600952,20260828,옹동면 작소1길,개,믹스견,흰색,2026(60일미만)(년생),3(Kg),보호중,M,N,"약 2개월추정, 온순하고 사람을 좋아함",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208299.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208340.jpg
445469202600951,20260828,옹동면 작소1길,개,믹스견,검정&흰색,2026(60일미만)(년생),3(Kg),보호중,M,N,"약 2개월추정, 온순하고 사람을 좋아함",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208813.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208868.jpg
445469202600950,20260828,옹동면 작소1길,개,믹스견,갈색&흰색,2026(60일미만)(년생),3(Kg),보호중,F,N,"약 2개월추정, 온순하고 사람을 좋아함",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208489[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208561[1].jpg
445469202600949,20260828,옹동면 작소1길,개,믹스견,갈색&흰색,2026(60일미만)(년생),3(Kg),보호중,F,N,"약 2개월추정, 온순하고 사람을 좋아함",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208361.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208412.jpg
445469202600947,20260828,이평면 황전1길 28-6,개,믹스견,흰색,2026(60일미만)(년생),3(Kg),보호중,F,N,"약 3개월 추정, 경계심이 강함.",정읍시 동물보호소,063-535-6295,전북특별자치도 정읍시 2산단5길 37-1 (하북동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208783.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281208306.jpg
445467202601606,20260828,군산경찰서 뒤 황금짜장,개,믹스견,갈색&흰색,2021(년생),4(Kg),보호중,F,U,5살추정 교통사고 당함,군산유기동물보호센터,063-451-2975,전북특별자치도 군산시 대야면 보덕안정길 124  ,,20260828,20260914,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008815.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008848.jpg
445464202602425,20260828,전주역 근처,고양이,먼치킨,기타(회색),2020(년생),3(Kg),보호중,F,U,"순함, 울면서 돌아다님 ",박영재동물병원,063-284-7774,전라북도 전주시 완산구 전주천서로 111 (서서학동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108751.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108830.jpg
444568202600440,20260828,당진시 합덕읍 영당말길 12-5 인근 하천변,개,믹스견,검정색,2026(년생),2.50(Kg),보호중,M,U,"3개월, 순함. 코로나, 종합백신 1차완료 (08/28)",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 삼포길 180  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308560.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308677.jpg
444568202600439,20260828,당진시 합덕읍 영당말길 12-5 인근 하천변,개,믹스견,검정&흰색,2026(년생),2.50(Kg),보호중,M,U,"3개월, 순함. 코로나, 종합백신 1차완료 (08/28)",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 삼포길 180  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308117.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308179.jpg
444568202600438,20260828,당진시 합덕읍 영당말길 12-5 인근 하천변,개,믹스견,검정&흰색,2026(년생),2.50(Kg),보호중,M,U,"3개월, 순함. 코로나, 종합백신 1차완료 (08/28)",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 삼포길 180  ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308412.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308483.jpg
444450202600580,20260828,"공주시 의당로 16, GS금강점",고양이,코리안 숏헤어,기타(검/흰/노랑),2026(년생),0.8(Kg),보호중,F,U,"3개월, 각막궤양(양쪽), 각막파열, 응급처치, 안연고 처방, 에드보킷, 예후 불량",공주시 동물보호센터,041-840-3495,충청남도 공주시 우성면 내산목천길 52-15  ,,20260828,20260910,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008812.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008839.jpg
443444202600306,20260828,양산면사무소,개,믹스견,흑갈색,2019(년생),10.4(Kg),보호중,F,U,"미등록, 목줄 착용, 외부기생충에 심하게 감염",최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원) ",,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308554.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308592.jpg
442423202600306,20260828,교동로 34,고양이,코리안 숏헤어,기타(회/흰),2025(년생),2(Kg),보호중,Q,N,교통사고 ,속초시유기동물보호소,033-636-2519,강원도 속초시 하도문길 103 (대포동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108825.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108856.jpg
441401202600806,20260828,논곡길1,개,푸들,갈색,2021(년생),9.5(Kg),보호중,M,Y,"하네스 착용상태로 발견, 통통한편, 앉아서 기다리는 똑똑이",목감동물병원,010-4249-6017,경기도 시흥시 동서로 1064 (조남동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908918.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908940.jpg
441378202601122,20260828,상대원동 375,개,포메라니안,갈색,2024(년생),3.8(Kg),보호중,F,U,양쪽 슬개골 탈구,펫앤쉘터동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",410160012291883,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828120830.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/20260828120870[1].jpg
441378202601121,20260828,단대동57,개,진도견,붉고 엷은 황갈색,2024(년생),18.5(Kg),보호중,F,U,눈병,펫앤쉘터동물병원,031-714-8392,"경기도 성남시 분당구 불정로 266 (수내동, 유신제일조합) ",,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008105.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281008140.jpg
431371202600475,20260828,명덕 6길 38,고양이,코리안 숏헤어,검정색,2026(60일미만)(년생),0.2(Kg),보호중,Q,N,"매우 위급. 저체온, 설사 등",울산유기동물입양센터,010-9768-0131,울산광역시 중구 젊음의거리 31 (성남동) 2~3층,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280008505.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280008978.jpg
411324202600444,20260828,고덕 차량사업소,개,믹스견,크림색,2020(년생),8.2(Kg),보호중,M,N,"귀양호,눈꼽조금,치석약간,심잡음4/6단계,왼쪽슬개골2기,구충제투여,온순함",강동리본센터(reborn),070-4163-7350,서울특별시 강동구 양재대로81길 73 (성내동) ,,20260828,20260911,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308947.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308247.jpg
411313202600296,20260828,마포구청 인근,개,말티즈,흰색,2009(년생),3.3(Kg),보호중,F,N,나이 많음 심질환 배뇨장애,홍익동물병원,02-325-2026,서울특별시 마포구 독막로 45 (합정동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108672.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281108922.jpg
448567202601176,20260828,의창구 북면 외감리 535-2,개,기타,검정색,2023(년생),35(Kg),보호중,M,Y,인수제 입소,창원동물보호센터,055-225-5701,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,410160010989527,20260827,20260827,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308819.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608281308870.jpg
450650202602057,20260827,서귀포시 서홍동 하논로72번길42-11,개,믹스견,갈색,2023(년생),16.5(Kg),보호중,M,N,개체관리번호 1611 - 심장사상충,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908407.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908428.jpg
450650202602056,20260827,제주시 해안동 산128 해안동 공동묘지 인근,개,믹스견,검정색,2026(60일미만)(년생),3.5(Kg),보호중,F,N,개체관리번호 1610 - 2개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280808847.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280808867.jpg
448567202601174,20260827,성산구 가음동 가음정교회 인근,개,믹스견,검정&흰색,2015(년생),5(Kg),종료(반환),F,N,"내장칩 있음, 포획 업체 현장 반환",창원동물보호센터,055-225-5701,경상남도 창원시 성산구 공단로474번길 117 (상복동) 창원동물보호센터,410100008078049,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280708950.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280708992.jpg
448535202601077,20260827,김해시 계동로102번길 ,고양이,코리안 숏헤어,"기타(흰색,갈색)",2023(년생),1.5(Kg),보호중,F,U,"김해시-689, 영양상태 불량",(사)동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908838.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908417.png
448535202601076,20260827,김해시 내외 대동 한마음@ 부근,고양이,코리안 숏헤어,"기타(흰색,갈색)",2026(년생),0.5(Kg),보호중,Q,U,"김해시-688, 3개월미만 추정, 어미잃은 젖먹이 새끼 고양이",(사)동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908736.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908481.png
448535202601075,20260827,김해시 동상 119,개,믹스견,갈색&흰색,2018(년생),10(Kg),보호중,F,U,"김해시-687, 허약",(사)동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908919.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908459.png
448535202601074,20260827,김해시 장유로334번길 30,고양이,코리안 숏헤어,기타(검갈색),2026(년생),1(Kg),보호중,M,U,"김해시-686, 다리부상으로 기립불능",(사)동물보호관리협회,051-971-6208,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) ,,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908389.png,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908880.png
443444202600305,20260827,황간면 황간로866-82,개,믹스견,흑갈색,2026(60일미만)(년생),0.1(Kg),보호중,Q,U,"미등록, 유기견 의 자견",최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원) ",,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908604.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908639.jpg
443444202600304,20260827,황간면 황간로866-82,개,믹스견,검정색,2020(년생),12.4(Kg),보호중,F,N,"미등록, 매우 난폭함",최종주동물병원,043-744-4209,"충청북도 영동군 영동읍 계산로 54 (영동읍, 최종주동물병원) ",,20260828,20260907,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908926.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/07/202608280908963.jpg
